+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Muddy Puddles. | 泥坑
Oh, Daddy Pig! We're lost! | 哦，猪爸爸！我们迷路了！
We are not lost. | 我们没有迷路.
So how do we get to Windy Castle from here? | 那么我们从这里怎么去风息堡？
Just give me a moment. Hmmmm! | 再给我一点时间吧。嗯！
I know, we can ringGranny and Grandpa. | 我知道了，我们可以打电话给猪奶奶和猪爷爷。
There's no need to ringGranny and Grandpa. | 没有必要打电话给猪奶奶和猪爷爷。
I'll get us to Windy Castle,if it takes me all day. | 我会让大家到达风息堡的，即使花上一整天。
We haven't got all day. | 我们没必要花一整天吧。
Hello, Grandpa Pig speaking. | 你好啊，这是猪爷爷。
Grandpa Pig, | 猪爷爷，
we've got a bit loston the way to Windy Castle. | 我们在去风息堡的路上有点迷路了。
Is Daddy Pig doing the map-reading? | 是不是猪爸爸在看地图啊？
Yes, Daddy Pig is doing the map-reading. | 是的，猪爸爸在看地图。
And he's a bit grumpy at the moment. | 此刻他正有点焦躁。
I am not grumpy. | 我没有焦躁。
This is the best route: | 这是很好的路线：
keep on the main road until you see Windy Castle up ahead. | 你们只要沿着主路一直开，就会看到风息堡了。
Thank you, Grandpa Pig. | 谢谢你，猪爷爷。
We follow the main road and look out for Windy Castle. | 我们沿着主路开，就会看到风息堡了。
As I thought. | 正如我所想的。
Look! Is that a castle? | 瞧！那是不是一个城堡？
Yes! It's Windy Castle! | 没错！那就是风息堡！
Come on, car! | 加油，汽车！
Come on, car! You can make it! | 加油，汽车！你能行的！
Hurray! | 好耶！
Peppa and her family have arrived at Windy Castle. | 佩奇和家人到达了风息堡了。
Wow! It's so tall! | 哇！它是那么高！
Let's go inside. The viewfrom the top is fantastic! | 我们进去吧。城堡上面的风景美极了！
Wow! | 哇！
Look at the view! | 看这景色！
Mummy, is that Granny andGrandpa's house? | 妈妈，那是不是奶奶和爷爷的房子？
Yes, it is! | 是的。
It's so far away! | 好远啊！
Let's take a look through the telescope. | 让我们用望远镜看看吧。
Can I look first, please? | 我可以先看吗？
Yes, but you must let George look next. | 可以，但接着你必要让乔治看。
Wow! | 哇！
The telescope makes everything look bigger. | 望远镜里看得很清楚。
I can see Granny and Grandpa! | 我可以看到奶奶和爷爷了！
Look, George! | 看，乔治！
Ganggy lg! Baba lg! | 奶奶！爷爷！
George is waving at Granny and Grandpa Pig. | 乔治对着奶奶和爷爷挥手。
Silly George! | 糊涂的乔治！
Granny and Grandpa are too far away to see you waving! | 奶奶和爷爷离得太远了看不到你在挥手的！
I know! We can ring them! | 我知道了！我们可以打电话给他们！
Hello? | 你好？
Grandpa Pig! We can see youfrom Windy Castle! | 猪爷爷！我们可以从风息堡看到你们！
Wave at us! | 向我们挥挥手吧！
Granny and Grandpa are waving at us! | 奶奶和爷爷正朝着我们挥手呢！
I love Windy Castle! | 我喜欢风息堡！
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
I'm Peppa Pig. | 我是佩奇。
This is my little brother,George. | 这是我的弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇
Pancakes! | 煎饼！
It is teatime. | 下午茶时间到了。
And Mummy Pig has a surprise for everyone. | 猪妈妈准备了一个惊喜给大家。
Today is a day for pancakes! | 今天吃煎饼！
Pancakes! Delicious! | 煎饼！好吃耶！
I love pancakes! | 我喜欢吃煎饼！
Everyone loves pancakes! | 大家都喜欢吃煎饼！
I'm the expert atflipping the pancakes over! | 我是一个抛煎饼的高手！
Leave that to me! | 交给我吧！
Are you sure,Daddy Pig? | 你确定，猪爸爸？
Last time you got a bit grumpy when you dropped the pancake on the floor. | 上次，当你将煎饼掉在地上时，你可有点焦躁哦。
I did not get grumpy. | 我并没有焦躁。
There was a problem with the frying pan. | 那是煎锅有问题。
Mummy. Can we help makethe pancakes, please? | 妈妈。我们可以帮忙做煎饼吗？
Yes. You can help memake the batter. | 可以。你们可以帮我做面糊。
First, I put some flour in the bowl. | 首先，我把面粉放进碗里。
Ooooo! | 哦~~！
Now, I add an egg. | 现在，我们加只鸡蛋。
Now, the milk. | 现在，来点牛奶。
And I give it all a stir. | 然后我搅拌它。
Mummy, can I stir? | 妈妈，可以让我来搅拌吗？
Yes, of course Peppa. | 当然可以，佩奇。
Peppa loves stirring. | 佩奇喜欢搅拌。
George wants to stir as well. | 乔治也想去搅拌。
No, George, like this! | 不对，乔治，像这样！
Ok, that's enough stirring. | 好了，搅拌够了。
You two sit at the table while I cook the pancakes. | 我做煎饼时，你俩坐在桌旁。
Mummy Pig is going to flip the pancake over! | 妈妈准备抛转煎饼！
Hurray! | 太棒！
You could flip it higher,Mummy Pig. | 你可以抛得更高点，猪妈妈。
You can show us how, when you flip your own pancake, Daddy Pig. | 猪爸爸，等你做你自己的那个煎饼时，你可以教教我们。
This first pancake is for George. | 第一个煎饼是给乔治的。
Mummy Pig pours a little syrup on George's pancake. | 猪妈妈倒了些糖浆在乔治的煎饼上。
Delicious! | 真好吃！
This pancake is for Peppa. | 这个煎饼是给佩奇的。
Hurray! | 好耶！
Hmmm... you could flip ithigher, Mummy Pig. | 嗯。。。你可以抛得更高点的，猪妈妈。
You will get a chance to show me when you flip you own pancake, Daddy Pig. | 猪爸爸，等你抛你自己的煎饼时，你有机会教我们的。
Syrup, please! | 请放糖浆。
Mmmmmm! Delicious! | 嗯！太好吃了！
This pancake is for Mummy Pig. | 这个煎饼是给猪妈妈的。
Hurray! | 好耶！
You still aren't flippingthem high enough,Mummy Pig. | 你仍然抛得不够高，猪妈妈。
The next pancake is yours, Daddy Pig. | 下一个煎饼是你的，猪爸爸。
So now you can show us how it should be done. | 现在你可以教教我们怎么做了。
Mmmmmm! Delicious! | 嗯！太好吃了！
Is everyone watching? | 大家都在看吗？
The secret of making a good pancake is to flip it high into the air. | 做出好吃的煎饼的秘密是把它抛到高空中。
One... two... three... hoopla! | 一。。。二。。。三。。。转圈！
Silly Daddy! | 糊涂的爸爸！
Oh...maybe that was just a bit too high. | 哦。。。也许有点太高了。
What a shame, that was the last pancake. | 真可惜，这可是最后一个煎饼。
It should be a simple matter to get it down. | 应该很容易把它拿下来。
Oh, dear. Daddy Pig cannot reach his pancake. | 哦，糟糕。猪爸爸够不着他的煎饼。
Don't worry, Daddy Pig, | 别担心，猪爸爸，
I think I know a way to get it down. | 我想我知道一个办法让它落下来。
Let's go upstairs, children. | 我们上楼去，孩子们。
This way! | 这边！
What is Mummy Pig planning to do? | 猪妈妈打算做什么呢？
On the count of three, | 数到三，
We all have to start jumping up and down. | 我们就开始跳。
One... two... three... jump! | 一。。。二。。。三。。。跳！
What are they doing? | 他们在干什么呢？
It worked! | 成功了！
Now Daddy Pig has his pancake. | 现在猪爸爸拿到煎饼了。
Daddy has a pancake on his head! | 爸爸的煎饼掉到他头上！
Syrup on your pancake, Daddy Pig? | 你的煎饼要放糖浆吗，猪爸爸？
Yes, please. | 是的。
One... two... three... hoopla! | 一。。。二。。。三。。。转圈！
Mmmmmm! Delicious! | 嗯！太好吃了！
Silly Daddy. | 糊涂的爸爸。
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
This is Mummy Pig. | 这是我的妈妈。
And this is Daddy Pig. | 这是我的爸爸。
Peppa pig. | 小猪佩奇
The Museum! | 博物馆!
Peppa and her family are going to the museum. | 佩奇和家人去博物馆参观。
Daddy, what is a museum? | 爸爸，什么是博物馆？
It's a place full of interestingthings that are very old. | 它是一个存放古老又有趣的东西的地方。
Older than you? | 比你还老吗？
Yes, even older than me. | 是的，甚至比我还老。
Ooooo! | 哦~！
Really old. | 真的很老耶。
There is one room full of things that belonged to kings and queens from long ago. | 有间房间放满属于很久以前的国王和王后的东西。
I want to see the king and queen's room! | 我想去看看国王和王后的房间！
And there's another roomwith a real dinosaur. | 另外一个房间有真正的恐龙。
Wow! Dine-Saw! Grrr. | 哇！恐龙！咯。
Hello, Mummy Pig! | 你好，猪妈妈！
Hello, Ms. Rabbit | 你好，兔女士。
How many tickets, please? | 请问要多少张票？
Two adults and two children. | 两张成人票和二张儿童票。
Dine-Saw! Grrrr. | 恐龙！咯。
And a dinosaur! | 也给恐龙一张票！
Peppa wants to see the room full of things that belong to kings and queens from long ago. | 佩奇想去看放满很久以前的国王和王后的东西的房间。
Wow! | 哇！
Dine-Saw? | 恐龙？
But George wants to see the real dinosaur. | 但是乔治想去看真正的恐龙。
Don't worry, George. | 别担心，乔治。
We will see the dinosaur next. | 我们接着会去看恐龙的。
Peppa, these are all the thingsthat the queen had a long time ago. | 佩奇，这些东西都是很久以前国王和王后所拥有的。
This is the queen's special chair. | 这是王后特制的椅子。
It's called a throne. | 它叫宝座。
It's beautiful! | 它好漂亮啊！
This is the queen's dress. | 这条是王后的裙子。
It's so pretty! | 它是那么漂亮啊！
Look, Peppa. This is thequeen's golden crown. | 看，佩奇，这是王后的金色皇冠。
Wow! What lovely things! | 哇！多么漂亮的东西！
Mummy, where is thequeen's television? | 妈妈，王后的电视机放在哪？
They didn't have television then. | 他们那时没有电视。
No television! | 居然没有电视。
But they did have computers? | 但他们有电脑吧？
No, they didn't have computers, either. | 没有，他们也没有电脑。
What did they do all day? | 他们整天干些什么呀？
Mummy, if I was the queen, | 妈妈，如果我是王后，
I would eat as much cake as I wanted. | 我想吃多少蛋糕就吃多少。
Peppa imagines being a queen. | 佩奇想像成为一个王后。
Mmmmm... delicious! | 嗯。。。太好吃了！
Is there anything else you would care for, Queen Peppa? | 有什么你还想要的，佩奇王后？
Yes! More cake, please! | 好的！再来点蛋糕吧！
Of course. | 当然可以。
Come on, everyone. | 大家都来这里。
Coming, Daddy! | 来了，爸爸！
Daddy! I'm Queen Peppa! | 爸爸！我是佩奇王后！
You must bow when you speak to me. | 当你跟我说话时你必需要鞠躬。
Oh! I'm most terribly sorry, | 哦！我深感抱歉，
your royal highness. | 王后陛下。
And what do you do? | 你是干什么的？
I'm your daddy. | 我是你的爸爸。
Hmmm, that must be very interesting. | 嗯，这一定很有意思。
Yes! It's very interesting! | 是的！非常有意思！
And what room is this? | 这间房间是干什么的？
This is the dinosaur room. | 这是恐龙屋。
The dinosaur room? | 恐龙屋？
George! This is the dinosaur room! | 乔治！这就是恐龙屋了！
Dine-saw! | 恐龙！
Where is the dinosaur? | 恐龙在哪里呢？
He's somewhere in the room. | 他在屋里某个地方。
I can't see him. He must be very small. | 我看不到他。他一定非常小了。
Actually, Peppa, he's very big! | 事实上，佩奇，他个子很大！
Wow. | 哇。
These are the bones of a real dinosaur. | 这些都是真恐龙的骨头。
Dine-Saw! | 恐龙！
ROOOAAARRR! | 吼~！
George imagines being a big dinosaur. | 乔治想像变成一条大恐龙。
It's a dinosaur! Help! Help! | 一条恐龙！救命！救命！
RRROOOAAARRR! | 吼~！
The dinosaur room is George's favorite room! | 这间恐龙屋是乔治最喜欢的房间！
My favorite room is the king and queen's room. | 我最喜欢的是国王和王后的房间。
And it looks as if Daddy Pig is already in his favorite room. | 看来爸爸好像已经到了他最喜欢的房间了。
Which room is that, Mummy? | 那是什么房间，妈妈？
The room with the cakes in. | 有很多蛋糕的房间。
Daddy Pig's favorite roomis the museum cafe. | 猪爸爸最爱的房间是博物馆的餐厅。
Come on, tuck in! | 来吧，尽情吃吧！
Oh, yes! This is a very nice room! | 哦，是的！这真是最好的房间！
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Secrets. | 秘密。
Mummy Pig has made a special box for Peppa. | 猪妈妈给佩奇做了一个特别的盒子。
Peppa, this box is just for you! | 佩奇，这个盒子给你！
Thank you, Mummy! | 谢谢您，妈妈！
It's a secret box for youto keep secret things in. | 是给你放秘密东西的秘密盒子。
What things can I put in it, Mummy? | 我可以放什么进去啊，妈妈？
Only you can decide that, Peppa! | 只有你自己能决定了，佩奇！
It's your secret box! | 它是你的秘密盒子！
I know what I can put in it! | 我知道我可以放什么进去了！
Good. But don't tell me. | 好的。但不用告诉我的。
I won't tell youor George or Daddy! | 我不会告诉你，乔治还有爸爸的！
It's a secret!! | 它是个秘密！
George, this is my secret box! | 乔治，这是我的秘密盒子！
It's empty. I have to findsome things to put inside. | 它是空的。我必需找些东西放里面。
George wants to help Peppa. | 乔治想帮佩奇。
No, George, only I must knowwhat's in the box. | 不，乔治，只有我可以知道里面放了什么。
You have to wait outside while I choose. | 我选东西时你必需在外面等。
Peppa is going to choose some secret things to put in the box. | 佩奇选东西放进秘密盒子里。
Now, my secret box is full! | 现在，我的秘密盒子装满了！
George, you must not look inside! | 乔治，你不准偷看里面的东西哦！
George would like to know what is inside Peppa's secret box. | 乔治想知道佩奇的秘密盒子里有什么。
If you like, you can try to guess. | 如果你想知道，你可以猜猜看。
Dine-Saw! | 恐龙！
George thinks Peppa has put a dinosaur in the box! | 乔治认为佩奇把恐龙放进盒子里！
Oh, George! | 哦，乔治！
You always say ''dinosaur''for everything! | 你总是把所有东西都说成“恐龙”！
Anyway, a dinosauris too big to fit in the box. | 起码，恐龙太大了放不进盒子里的啊。
George cannot guess what is in Peppa's secret box. | 乔治猜不到佩奇秘密盒子里装的是什么东西。
Daddy Pig is cleaning a picture. | 猪爸爸正在清理照片。
Daddy! This is my secret box! | 爸爸！这是我的秘密盒子！
Mummy made it for me! | 妈妈给我做的！
It's very nice, Peppa! | 好漂亮的盒子，佩奇！
What's inside? | 里面装了什么？
It's a secret! | 这可是个秘密哦！
George tried to guess,but he didn't get it right. | 乔治想猜，但他没猜对。
Can I have a try? | 我可以试试吗？
Yes. | 可以。
Hmmm. Have you put my glasses inside? | 嗯。你把我的眼镜放里面了？
No!!! Your glasses areon your head! | 不对！！！你的眼镜在你头上。
So they are! | 确实是！
Silly Daddy! You musthave a proper guess. | 糊涂的爸爸！你得再猜猜。
Ok. Have you putMummy's shoes in the box? | 好的。你把妈妈的鞋子放盒子里了？
Nope! And that's all yourguesses. Used up! | 不对！你所有可以猜的机会，都用完了！
Peppa likes secrets! | 佩奇喜欢秘密！
Mummy! No one knowswhat is in my box! | 妈妈！没人知道我盒子里装了什么！
Oh. what has George got? | 哦。乔治拿的是什么？
I made a box for George, too! | 我也给乔治做了一个盒子！
And he's filled itwith secret things! | 他已经装满了秘密的东西！
And only George knows what's inside. | 只有乔治知道里面装了什么东西。
Oh. | 哦。
Peppa would like to know what is inside George's box. | 佩奇想知道乔治的盒子里有什么东西。
It's George's toy dinosaur, of course! | 当然是乔治的恐龙玩具啦！
No! | 不对！
George's toy dinosaur is not in George's box. | 乔治的恐龙玩具不在乔治的盒子里。
It's too difficult! I'll never guess! | 这也太难了。我永远也猜不到！
Peppa does not like secrets as much as she used to. | 佩奇不像之前那么喜欢秘密了。
Maybe, if you showed Georgeone thing from your box, | 也许，如果你给乔治看一样你盒子里的东西，
then he could show you one thing from his. | 那么乔治也可以给你看一样他的东西。
Ok. But we must do itat the same time. | 行。但我们得同时进行。
That's a good idea. | 这是一个好主意。
On the count of three, | 数到三，
you each show what'sin your boxes. | 你们同时打开盒子。
Ready? | 准备好了没？
Yes. | 好了。
One... two... THREE! | 一。。。二。。。三!
George has a drum and Peppa has a trumpet. | 乔治藏了个鼓，佩奇藏了个喇叭。
Lovely! | 太棒了！
Yes, it sounds very nice. | 是的，听上去很不错。
Do you have anymore secret things? | 你们还有什么秘密东西吗？
George has a custard doughnut! | 乔治藏了一个蛋奶甜甜圈！
Oh. | 哦。
But Peppa's box is empty. | 但是佩奇的盒子是空的。
I've got nothing else! | 我已什么东西都没有了！
Luckily, I have! Come on. Tuck in. | 幸好，我还有！来吧。快吃吧。
George, Peppa, Mummy Pig and Daddy Pig all like custard doughnuts! | 乔治，佩奇，猪妈妈和猪爸爸都喜欢蛋奶甜甜圈！
I don't have a special box. | 我没有特别的盒子！
But I know a very good place to hide my custard doughnut! | 但我有个好地方可以藏我的蛋奶甜甜圈！
Can you guess where? | 你们猜是那里？
Um. Are you going to hide it in the fridge? | 嗯。你打算把它藏在冰箱里吗？
No! Somewhere much more special! | 不！一个更特别的地方！
My tummy! | 我的肚子！
Mmmmmm! Delicious! | 嗯~！太好吃了！
I'm going to hide mine in my tummy! | 我也要把我的藏在我的肚子里！
Me, too! | 我也是！
I'm Peppa Pig. | 我是小猪佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Thunderstorm | 暴风雨
It is a lovely, sunny day. | 今天是个阳光灿烂的日子。
Peppa and George are having a picnic. | 佩奇和乔治在外面野餐。
Here's some orangejuice for you, Teddy. | 倒些橙汁给你，泰迪。
What do you say? | 你说什么呀？
Thank you very much, Peppa! | 十分谢谢你，佩奇！
You are very welcome, Teddy. | 不用客气，泰迪。
Here's some orange juice for you, | 倒些橙汁给你，
Mr. Dinosaur. | 恐龙先生。
And what do you say? | 你说什么呀？
Grrrrrrrrrrr! | 咯~~~！
You are very welcome, Mr. Dinosaur. | 不用客气，恐龙先生。
Would Teddy or Mr. Dinosaurlike a cookie? | 泰迪和恐龙先生喜欢吃点饼干吗？ We're not very hungry. 我们不是很饿。
So Peppa and George can eat all the cookies. | 所以佩奇和乔治可以吃掉所有的饼干。
Thank you, Teddy. | 谢谢你，泰迪。
What was that strange noise? | 那是什么奇怪的声音？
Peppa, George! Quick,come inside the house! | 佩奇，乔治！快，回到屋里！
Mummy! There wasa loud ''bang'' sound! | 妈妈！有个很响的声音！
It's thunder, Peppa. | 它是打雷声，佩奇。
It means there will be a thunderstorm with lots of rain. | 它意味着狂风暴雨马上就来了。
Quick! Into the housebefore the rain starts! | 快！在下雨前回到屋里！
No need to panic, | 不要惊慌，
the rain is still a long way off. | 这雨要很久才会下的。
The sky is getting darker and darker. | 天变得越来越黑了。
There is going to be a thunderstorm. | 一场暴风雨即将到来了。
Peppa, George, | 佩奇，乔治，
did you bring all your toys in from the garden? | 你们所有的玩具都从花园拿回来了吗？
Dine-Saw. | 恐龙。
Good, Mr. Dinosaur is safe. | 好的，恐龙先生安全了。
Teddy! I left Teddy in the garden! | 泰迪！我把泰迪落在花园了！
He'll get wet! | 她会淋湿的！
Don't worry, Peppa. | 别担心，佩奇。
Daddy Pig will rescue Teddy! | 爸爸会救泰迪的！
You'd better hurry,Daddy Pig. | 你最好快点了，猪爸爸。
It's just about to rain! | 快要下雨了！
You'd better hurry,Daddy Pig. | 你最好快点了，猪爸爸。
It's just about to rain! | 快要下雨了！
I know all about thunderstorms. | 我非常了解暴风雨的。
It won't rain for ages. | 还要很久才会下雨。
As I thought, | 正如我所料，
plenty of time before it rains. | 离下雨还有很多时间。
Poor Teddy! He's soaking wet! | 可怜的泰迪！他湿透了！
Yes, poor Teddy! Let's get him dry! | 是的，可怜的泰迪！让我们把他擦干吧！
Poor Teddy! | 可怜的泰迪！
There you are, Teddy! All dry! | 看看，泰迪！全干了！
What about poor Daddy? | 那可怜的爸爸怎么办？
I'm soaking wet, too! | 我也湿透了！
Oh! Sorry, Daddy Pig! | 哦！对不起，猪爸爸！
Let's get you dry! | 让我们把你擦干吧！
There you are, Daddy Pig! | 看看，猪爸爸！
Nice and dry! | 又干爽又整洁！
Oh!? | 哦！？
The rain is coming in the house! | 雨水进到屋里来了！
The floor is getting wet! | 地板变湿了！
Oh, dear! What can we do,Daddy Pig? | 哦，糟糕！我们该怎么办，猪爸爸？
Don't worry. | 不用担心。
Daddy Pig is using a bucket to catch the drips. | 猪爸爸用一个水桶来接雨水。
Well-done, Daddy Pig! | 做得好，猪爸爸！
Easy as pie! Er? What? | 小菜一碟！呃？什么？
Quick! Find something else to catch the water! | 快！找个别的东西来接雨水！
Well-done, Peppa! | 做得好，佩奇！
Easy as pie! | 小菜一碟！
Mummy! The thunderbangs are very loud! | 妈妈！雷声非常响！
It's okay, children; don't be frightened. | 没事的，孩子们；不要害怕。
Let's count between each flash and bang. | 让我们来算一下雷声与闪电之间的时间间隔。
The higher we can count,the further away the thunderstorm is. | 间隔越久说明暴风雨离我们越远。
One... two... three... | 一。。。二。。。三。。。
That's three. | 已经三了。
One... two... three...four... five... | 一。。。二。。。三。。。四。。。五。。。
That's five! | 已经五了！
The thunderstorm is going away! | 暴风雨快结束了！
The thunderstorm is over! | 暴风雨结束了！
Hurray! | 好耶！
The thunderstorm has filled the garden with muddy puddles! | 暴风雨过后花园里布满了泥坑！
Peppa loves jumping up and down in muddy puddles. | 佩奇喜欢在泥坑里跳来跳去。
Everyone loves jumping up and down in muddy puddles. | 大家都喜欢在泥坑里跳来跳去。
I love thunderstorms, | 我喜欢暴风雨，
they make muddy puddles! | 它搞了泥坑！
Splish, splash, splosh, splish! | 泥水声到处溅起！
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Piggy in the Middle! | 中间的小猪！
George is playing with his ball in the garden. | 乔治在花园里玩扔球。
Peppa wants to play, too. | 佩奇也想玩。
George, you're doing itall wrong! | 乔治，你这样做是错的！
This is how to catch a ball. | 这样才能接到球。
Not like this. | 而不是这样。
That's what you do. | 你要这样做。
What a cheeky little one,pig Peppa is. | 佩奇真是一头顽皮的小猪。
George! Come back! | 乔治！回来！
You little piggy! | 你这头小猪！
Maybe Peppa is teasing George just a bit too much. | 也许佩奇逗乔治逗得有点过份了！
Peppa, have youbeen teasing George? | 佩奇，你是不是在逗乔治玩啊？
Not really, Mummy, I wasteaching him how to catch. | 不是的，妈妈，我在教乔治接球。
Really? Oh, well, I know a game that will teach George how to catch. | 真的吗？哦，好的，我知道一个游戏能教会乔治如何接球。
It's called ''Piggy-in-the-Middle''. | 它叫“中间的小猪”。
Peppa, you take the ball and stand over there | 佩奇，你拿着球站在这。
and George, you stand over there. | 乔治，你站那边。
Good! You have to throw the ball to each other | 好了！你把球扔给对方
and I have to try and catch it. | 而我就试图接住球。
I'm the piggy in the middle. | 我是中间的小猪。
Mummy is the piggy in the middle. | 妈妈是中间的一头小猪。
Catch, George! | 接住啦，乔治！
Oh! Missed it! | 哦！错过了！
George has caught the ball. | 乔治接住了球。
Hurray! | 好耶！
Well done, George. | 干得好，乔治。
Now you throw the ball to Peppa. | 现在你把球扔给佩奇。
Oop! Try again. | 喔！再试一次。
Oh! Try again. | 哦！再试一次吧.
George can't throw the ballpast Mummy Pig. | 乔治不能把球扔给佩奇（越过妈妈）。
Come on, George. | 来吧，乔治。
Give the ball to me. | 把球给我。
Oop! | 喔！
Silly George. I can do that, too. | 傻呼呼的乔治。我也能那样做。
Oh! | 哦！
Peppa wants to copy George | 佩奇想学乔治
but she's too big and has got stuck. | 但是太大而被卡住了。
I've got the ball. Peppa, | 我拿到球啦。佩奇，
now it's your turn to be piggy. | 现在轮到你来做中间的小猪。
George! Catch! | 乔治！接住！
Hurray! | 好耶！
Caught it! George, you're the piggy! | 接住！乔治，你来做中间的小猪！
George! Catch. | 乔治！接住哦。
Catch the ball, George. | 接住球，乔治。
Catch, George. | 接住，乔治。
George, catch. | 乔治，接住。
Here's the ball,George. | 球来了，乔治。
Weeeeeeeeeee | 呜~~~~~~~
Waaaaaaaaaaaaaa! | 哇~~~~~~~！
Oh, dear! Peppa, you shouldn't tease George like that. | 哦，天啊！佩奇，你不应该这样戏弄乔治。
Sorry, George! | 对不起，乔治！
What's all the noise? | 这是什么声音？
Daddy, George is too littleto play ''Piggy in the middle''. | 爸爸，乔治太小了不能做“中间的小猪”。
Oh, I'm sure he's big enough. | 哦，我相信他足够大了。
No, he isn't, Daddy, watch. | 不，他不够，爸爸，看。
Catch it, George. | 接住，乔治。
Hurray! | 好耶！
That's not fair! | 这不公平！
Yes, it is. I just gave Georgea helping hand. | 是公平的。我只是帮了乔治一下。
Mummy, can I have a helping hand? | 妈妈，你可以帮我一下吗？
Of course you can, Peppa. | 当然可以，佩奇。
To me! George! | 给我！乔治！
Catch, George. | 接住，乔治。
Peppa loves catching the ball. | 佩奇喜欢玩接球。
George loves catching the ball. | 乔治也喜欢玩接球。
Everyone loves catching the ball. | 大家都喜欢玩接球。
I'm Peppa Pig. | 我是佩奇。
This is my little brother, George. | 这是我的弟弟，乔治。
+++++++此为分集分割线+++++++
+++++++此为分集分割线+++++++
Fancy Dress Party! | 化妆舞会！
Peppa and George are having a fancy dress party. | 佩奇和乔治在举行化妆舞会。
All their friends are invited. | 他们的所有朋友都被邀请了。
Peppa is dressed as a fairy princess. | 佩奇化妆成为一位仙女公主。
And George is dressed as a dinosaur. | 乔治化妆成为一只恐龙。
Grrrr! Dine-saw! | 咯~！恐龙！
Here are Peppa's friends, | 佩奇的朋友来了，
Candy Cat, Suzy Sheep, Danny Dog, | 有小猫凯迪，小羊苏茜，小狗丹尼，
Rebecca Rabbit and Pedro Pony. | 小兔瑞贝卡和小马佩德罗。
Suzy is wearing her nurse's costume. | 苏茜穿着她的护士服。
Hello, Suzy! | 你好，苏茜！
Hello, Mr. Pig! | 你好啊，猪先生！
I'm glad the nurse has arrived! | 很高兴来了位护士！
Have you just come from the hospital? | 你是刚从医院来的吗？
Er, I'm not a real nurse. | 呃，我不是真的护士。
It's just pretend. | 我只是扮成护士。
Very good. My, my! | 非常好。哎哟！
Who have we here? | 那是谁啊？
Woof! Woof! I'm a pirate! | 汪！汪！我是名海盗！
Shiver me timbers! | 吓到你发抖！
Meow! I'm a witch! | 喵！我是一个巫婆！
I can turn you into a frog. | 我能把你变成青蛙。
Neigh! I'm a clown! | 嘶！我是小丑！
That's funny! | 太有趣了！
And what are you, Rebecca Rabbit? | 你扮的是什么，瑞贝卡？
I'm a carrot. | 我是胡萝卜.
Fantastic! Come in. | 好极了！进来吧。
There's a fairy princess and adinosaur waiting to meet you. | 里面有仙女公主和恐龙在等着你们。
Hello, everyone! | 大家好！
Hello, Peppa! | 你好，佩奇！
Baa! Meow! Woof! Neigh! | 咩！喵！汪！嘶！
Hello, Suzy, I'm Princess Peppa. | 你好，苏茜，我是佩奇公主。
You must bow when you speak to me. | 你和我说话时要鞠躬。
Hello, your majesty. Baaa! | 你好，公主殿下。咩！
I'm Nurse Suzy! | 我是护士苏茜！
Open wide and say "ahhh". | 张大嘴说“啊”。
"Ahhh"! | “啊”！
Neigh... I'm a clown. | 嘶。。。我是个小丑。
Do something funny! | 表演些有趣的东西吧！
Woof! Rebecca, why are youdressed as a carrot? | 汪！瑞贝卡，你为什么扮成胡萝卜？
I like carrots. | 我喜欢胡萝卜。
Grrrrrrr! Dine saw! | 咯~~~！恐龙！
A scary dinosaur! | 一只可怕的恐龙！
Peppa is admiring herself in the mirror. | 佩奇在欣赏镜子里的自己。
Mirror, mirror on the wall, | 镜子镜子，
Who is the fairest of them all? | 谁是最漂亮的人？
You are, Peppa. | 是你啊，佩奇。
Meow! Hello, Peppa. | 喵！你好，佩奇。
Hello, I'm a little fairy princess. | 你好，我是一个小仙女公主。
I'm a witch. Meow! | 我是一个巫婆，喵！
And I've got a magic wand! | 我有一条魔法棒！
I've got a magic wand, too! | 我也有一条魔法棒！
I can turn you into a frog. | 我可以把你变成青蛙。
And I'll turn you into a frog. | 我也可以把你变成青蛙。
Dine saw! Grrrrrrrrr! | 恐龙！咯~~~~~！
Waaaaaaaaaaaa!!! | 哇~~~~~~！
Oh, dear, George is scaredof his own reflection. | 哦，天啊，乔治被他自己的样子吓坏了。
Silly George, look,it's you in the mirror. | 傻呼呼的乔治，看，它是你在镜子里的映像而已。
Grrrrr! | 咯~！
Children, | 孩子们，
